p
971
idx PDG vx vy vz vt px py pz
280 22 274.498 -52.4743 1535 14.3768 0.675001 0.334675 2.65376
281 22 119.714 -154.834 1535 6.86748 0.216606 -0.238719 2.03817
282 2112 -158.605 73.4806 1535 230.235 -5.05673 0.592697 17.8653
283 22 -165.398 277.328 1535 7.31837 -0.0409042 0.0907483 0.48687
284 2112 -80.5524 296.777 1535 17.0058 -26.0346 76.7234 329.513
285 22 -296.526 -3.84623 1535 356.703 -0.782919 -0.131939 2.03264
286 22 -181.66 -71.1399 1535 6.89073 -1.16576 -0.513216 7.77442
287 22 4.64665 -118.3 1535 6.93285 0.00931009 -0.0595052 0.743148
288 22 -131.115 82.2028 1535 24.6577 -0.885042 1.19962 4.58723
289 22 110.132 151.486 1535 401.452 0.0255367 0.0207108 0.139252
290 22 6.00685 196.038 1535 7.53986 -0.00432688 0.00486586 0.119093
291 22 -155.534 47.235 1535 6.67793 -0.0433369 0.14652 3.13173
292 22 -141.776 -26.094 1535 7.00688 -0.228387 -0.144777 1.35449
293 2112 -72.3268 -73.404 1535 23.4229 -6.69422 -17.0044 224.746
294 2112 -63.4688 280.971 1535 363.339 -1.25658 3.97742 10.3071
295 2112 -0.649767 -141.438 1535 36.9458 1.0565 -13.0956 134.788
296 22 -17.7814 -18.7693 1535 277.199 -0.213557 0.216135 4.43169
297 22 141.509 -23.4701 1535 10.3723 0.00599596 0.0534344 1.96655
298 2112 280.235 -240.193 1535 23.4753 47.6483 -38.3328 223.236
299 2112 -124.232 -86.5884 1535 43.5927 -7.95118 -12.2283 113.364
300 22 -197.695 210.304 1535 6.93834 -0.741796 0.603342 4.80123
301 22 -282.595 266.23 1535 9.07725 -0.00318454 0.0034351 0.0337645
302 22 -195.877 60.0077 1535 7.54291 -0.0857414 0.0270491 0.23854
303 2212 -114.754 133.45 1535 20.1783 -10.1746 26.1301 259.081
304 2112 -3.2174 -240.106 1535 17.2832 7.21388 -47.9593 322.711
305 22 73.2848 -18.5409 1535 6.6987 0.140535 -0.0455998 3.40925
306 2112 -272.722 -10.8905 1535 194.05 -0.81854 -0.0633368 26.3803
307 22 243.999 -149.494 1535 9.80165 1.15751 0.184128 4.47707
